2022-05-19 23:05:03 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (ab59a57ad3f6895bc3f4b0bdf2695bfe)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:64 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:34 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:974 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:900 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:886 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (1a69aab5dc94bb326f7361c254bc5c6b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:214 INFO  HomePage :44 - Link On Used Link:[[ChromeDriver: chrome on WINDOWS (1a69aab5dc94bb326f7361c254bc5c6b)] -> xpath: //a[text()='Used']]
2022-05-19 23:05:193 INFO  UserdCarSearchPage :42 - get the text of used Car Search text : [[ChromeDriver: chrome on WINDOWS (1a69aab5dc94bb326f7361c254bc5c6b)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 23:05:364 INFO  CarSearchPage :47 - select the make for car from drop down Ford
2022-05-19 23:05:452 INFO  CarSearchPage :52 - select the model for car from drop down Corsair
2022-05-19 23:05:550 INFO  CarSearchPage :57 - select the location for car from drop down QLD - Far North
2022-05-19 23:05:639 INFO  CarSearchPage :62 - select the price for car from drop down $50,000
2022-05-19 23:05:749 INFO  CarSearchPage :67 - click on find My Next Car button [[ChromeDriver: chrome on WINDOWS (1a69aab5dc94bb326f7361c254bc5c6b)] -> xpath: //input[@id='search-submit']]
2022-05-19 23:05:393 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:379 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:353 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:687 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:597 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:586 INFO  ManageDriver :33 - Launching Chrome Browser
